date,price
2020-01-01,100.05
2020-01-02,100.03
2020-01-03,100.08
2020-01-04,100.06
2020-01-05,100.11
2020-01-06,100.09
2020-01-07,100.14
2020-01-08,100.12
2020-01-09,100.17
2020-01-10,100.15
2020-01-11,100.20
2020-01-12,100.18
2020-01-13,100.23
2020-01-14,100.21
2020-01-15,100.26
2020-01-16,100.24
2020-01-17,100.29
2020-01-18,100.27
2020-01-19,100.32
2020-01-20,100.30
2020-01-21,100.35
2020-01-22,100.33
2020-01-23,100.38
2020-01-24,100.36
2020-01-25,100.41
2020-01-26,100.39
2020-01-27,100.44
2020-01-28,100.42
2020-01-29,100.47
2020-01-30,100.45
2020-01-31,100.50
2020-02-01,100.48
2020-02-02,100.53
2020-02-03,100.51
2020-02-04,100.56
2020-02-05,100.54
2020-02-06,100.59
2020-02-07,100.57
2020-02-08,100.62
2020-02-09,100.60
2020-02-10,100.65
2020-02-11,100.63
2020-02-12,100.68
2020-02-13,100.66
2020-02-14,100.71
2020-02-15,100.69
2020-02-16,100.74
2020-02-17,100.72
2020-02-18,100.77
2020-02-19,100.75
2020-02-20,100.80
2020-02-21,100.78
2020-02-22,100.83
2020-02-23,100.81
2020-02-24,100.86
2020-02-25,100.84
2020-02-26,100.89
2020-02-27,100.87
2020-02-28,100.92
2020-02-29,100.90
2020-03-01,100.95
2020-03-02,100.93
2020-03-03,100.98
2020-03-04,100.96
2020-03-05,101.01
2020-03-06,100.99
2020-03-07,101.04
2020-03-08,101.02
2020-03-09,101.07
2020-03-10,101.05
2020-03-11,101.10
2020-03-12,101.08
2020-03-13,101.13
2020-03-14,101.11
2020-03-15,101.16
2020-03-16,101.14
2020-03-17,101.19
2020-03-18,101.17
2020-03-19,101.22
2020-03-20,101.20
2020-03-21,101.25
2020-03-22,101.23
2020-03-23,101.28
2020-03-24,101.26
2020-03-25,101.31
2020-03-26,101.29
2020-03-27,101.34
2020-03-28,101.32
2020-03-29,101.37
2020-03-30,101.35
2020-03-31,101.40
2020-04-01,101.38
2020-04-02,101.43
2020-04-03,101.41
2020-04-04,101.46
2020-04-05,101.44
2020-04-06,101.49
2020-04-07,101.47
2020-04-08,101.52
2020-04-09,101.50
2020-04-10,101.55
2020-04-11,101.53
2020-04-12,101.58
2020-04-13,101.56
2020-04-14,101.61
2020-04-15,101.59
2020-04-16,101.64
2020-04-17,101.62
2020-04-18,101.67
2020-04-19,101.65
2020-04-20,101.70
2020-04-21,101.68
2020-04-22,101.73
2020-04-23,101.71
2020-04-24,101.76
2020-04-25,101.74
2020-04-26,101.79
2020-04-27,101.77
2020-04-28,101.82
2020-04-29,101.80
2020-04-30,101.85
2020-05-01,101.83
2020-05-02,101.88
2020-05-03,101.86
2020-05-04,101.91
2020-05-05,101.89
2020-05-06,101.94
2020-05-07,101.92
2020-05-08,101.97
2020-05-09,101.95
2020-05-10,102.00
2020-05-11,101.98
2020-05-12,102.03
2020-05-13,102.01
2020-05-14,102.06
2020-05-15,102.04
2020-05-16,102.09
2020-05-17,102.07
2020-05-18,102.12
2020-05-19,102.10
2020-05-20,102.15
2020-05-21,102.13
2020-05-22,102.18
2020-05-23,102.16
2020-05-24,102.21
2020-05-25,102.19
2020-05-26,102.24
2020-05-27,102.22
2020-05-28,102.27
2020-05-29,102.25
2020-05-30,102.30
2020-05-31,102.28
2020-06-01,102.33
2020-06-02,102.31
2020-06-03,102.36
2020-06-04,102.34
2020-06-05,102.39
2020-06-06,102.37
2020-06-07,102.42
2020-06-08,102.40
2020-06-09,102.45
2020-06-10,102.43
2020-06-11,102.48
2020-06-12,102.46
2020-06-13,102.51
2020-06-14,102.49
2020-06-15,102.54
2020-06-16,102.52
2020-06-17,102.57
2020-06-18,102.55
2020-06-19,102.60
2020-06-20,102.58
2020-06-21,102.63
2020-06-22,102.61
2020-06-23,102.66
2020-06-24,102.64
2020-06-25,102.69
2020-06-26,102.67
2020-06-27,102.72
2020-06-28,102.70
2020-06-29,102.75
2020-06-30,102.73
2020-07-01,102.78
2020-07-02,102.76
2020-07-03,102.81
2020-07-04,102.79
2020-07-05,102.84
2020-07-06,102.82
2020-07-07,102.87
2020-07-08,102.85
2020-07-09,102.90
2020-07-10,102.88
2020-07-11,102.93
2020-07-12,102.91
2020-07-13,102.96
2020-07-14,102.94
2020-07-15,102.99
2020-07-16,102.97
2020-07-17,103.02
2020-07-18,103.00
2020-07-19,103.05
2020-07-20,103.03
2020-07-21,103.08
2020-07-22,103.06
2020-07-23,103.11
2020-07-24,103.09
2020-07-25,103.14
2020-07-26,103.12
2020-07-27,103.17
2020-07-28,103.15
2020-07-29,103.20
2020-07-30,103.18
2020-07-31,103.23
2020-08-01,103.21
2020-08-02,103.26
2020-08-03,103.24
2020-08-04,103.29
2020-08-05,103.27
2020-08-06,103.32
2020-08-07,103.30
2020-08-08,103.35
2020-08-09,103.33
2020-08-10,103.38
2020-08-11,103.36
2020-08-12,103.41
2020-08-13,103.39
2020-08-14,103.44
2020-08-15,103.42
2020-08-16,103.47
2020-08-17,103.45
2020-08-18,103.50
2020-08-19,103.48
2020-08-20,103.53
2020-08-21,103.51
2020-08-22,103.56
2020-08-23,103.54
2020-08-24,103.59
2020-08-25,103.57
2020-08-26,103.62
2020-08-27,103.60
2020-08-28,103.65
2020-08-29,103.63
2020-08-30,103.68
2020-08-31,103.66
2020-09-01,103.71
2020-09-02,103.69
2020-09-03,103.74
2020-09-04,103.72
2020-09-05,103.77
2020-09-06,103.75
2020-09-07,103.80
2020-09-08,103.78
2020-09-09,103.83
2020-09-10,103.81
2020-09-11,103.86
2020-09-12,103.84
2020-09-13,103.89
2020-09-14,103.87
2020-09-15,103.92
2020-09-16,103.90
2020-09-17,103.95
2020-09-18,103.93
2020-09-19,103.98
2020-09-20,103.96
2020-09-21,104.01
2020-09-22,103.99
2020-09-23,104.04
2020-09-24,104.02
2020-09-25,104.07
2020-09-26,104.05
2020-09-27,104.10
2020-09-28,104.08
2020-09-29,104.13
2020-09-30,104.11
2020-10-01,104.16
2020-10-02,104.14
2020-10-03,104.19
2020-10-04,104.17
2020-10-05,104.22
2020-10-06,104.20
2020-10-07,104.25
2020-10-08,104.23
2020-10-09,104.28
2020-10-10,104.26
2020-10-11,104.31
2020-10-12,104.29
2020-10-13,104.34
2020-10-14,104.32
2020-10-15,104.37
2020-10-16,104.35
2020-10-17,104.40
2020-10-18,104.38
2020-10-19,104.43
2020-10-20,104.41
2020-10-21,104.46
2020-10-22,104.44
2020-10-23,104.49
2020-10-24,104.47
2020-10-25,104.52
2020-10-26,104.50
2020-10-27,104.55
2020-10-28,104.53
2020-10-29,104.58
2020-10-30,104.56
2020-10-31,104.61
2020-11-01,104.59
2020-11-02,104.64
2020-11-03,104.62
2020-11-04,104.67
2020-11-05,104.65
2020-11-06,104.70
2020-11-07,104.68
2020-11-08,104.73
2020-11-09,104.71
2020-11-10,104.76
2020-11-11,104.74
2020-11-12,104.79
2020-11-13,104.77
2020-11-14,104.82
2020-11-15,104.80
2020-11-16,104.85
2020-11-17,104.83
2020-11-18,104.88
2020-11-19,104.86
2020-11-20,104.91
2020-11-21,104.89
2020-11-22,104.94
2020-11-23,104.92
2020-11-24,104.97
2020-11-25,104.95
2020-11-26,105.00
2020-11-27,104.98
2020-11-28,105.03
2020-11-29,105.01
2020-11-30,105.06
2020-12-01,105.04
2020-12-02,105.09
2020-12-03,105.07
2020-12-04,105.12
2020-12-05,105.10
2020-12-06,105.15
2020-12-07,105.13
2020-12-08,105.18
2020-12-09,105.16
2020-12-10,105.21
2020-12-11,105.19
2020-12-12,105.24
2020-12-13,105.22
2020-12-14,105.27
2020-12-15,105.25
2020-12-16,105.30
2020-12-17,105.28
2020-12-18,105.33
2020-12-19,105.31
2020-12-20,105.36
2020-12-21,105.34
2020-12-22,105.39
2020-12-23,105.37
2020-12-24,105.42
2020-12-25,105.40
2020-12-26,105.45
2020-12-27,105.43
2020-12-28,105.48
2020-12-29,105.46
2020-12-30,105.51
2020-12-31,105.49
2021-01-01,105.54
2021-01-02,105.52
2021-01-03,105.57
2021-01-04,105.55
2021-01-05,105.60
2021-01-06,105.58
2021-01-07,105.63
2021-01-08,105.61
2021-01-09,105.66
2021-01-10,105.64
2021-01-11,105.69
2021-01-12,105.67
2021-01-13,105.72
2021-01-14,105.70
2021-01-15,105.75
2021-01-16,105.73
2021-01-17,105.78
2021-01-18,105.76
2021-01-19,105.81
2021-01-20,105.79
2021-01-21,105.84
2021-01-22,105.82
2021-01-23,105.87
2021-01-24,105.85
2021-01-25,105.90
2021-01-26,105.88
2021-01-27,105.93
2021-01-28,105.91
2021-01-29,105.96
2021-01-30,105.94
2021-01-31,105.99
2021-02-01,105.97
2021-02-02,106.02
2021-02-03,106.00
2021-02-04,106.05
2021-02-05,106.03
2021-02-06,106.08
2021-02-07,106.06
2021-02-08,106.11
2021-02-09,106.09
2021-02-10,106.14
2021-02-11,106.12
2021-02-12,106.17
2021-02-13,106.15
2021-02-14,106.20
2021-02-15,106.18
2021-02-16,106.23
2021-02-17,106.21
2021-02-18,106.26
2021-02-19,106.24
2021-02-20,106.29
2021-02-21,106.27
2021-02-22,106.32
2021-02-23,106.30
2021-02-24,106.35
2021-02-25,106.33
2021-02-26,106.38
2021-02-27,106.36
2021-02-28,106.41
2021-03-01,106.39
2021-03-02,106.44
2021-03-03,106.42
2021-03-04,106.47
2021-03-05,106.45
2021-03-06,106.50
2021-03-07,106.48
2021-03-08,106.53
2021-03-09,106.51
2021-03-10,106.56
2021-03-11,106.54
2021-03-12,106.59
2021-03-13,106.57
2021-03-14,106.62
2021-03-15,106.60
2021-03-16,106.65
2021-03-17,106.63
2021-03-18,106.68
2021-03-19,106.66
2021-03-20,106.71
2021-03-21,106.69
2021-03-22,106.74
2021-03-23,106.72
2021-03-24,106.77
2021-03-25,106.75
2021-03-26,106.80
2021-03-27,106.78
2021-03-28,106.83
2021-03-29,106.81
2021-03-30,106.86
2021-03-31,106.84
2021-04-01,106.89
2021-04-02,106.87
2021-04-03,106.92
2021-04-04,106.90
2021-04-05,106.95
2021-04-06,106.93
2021-04-07,106.98
2021-04-08,106.96
2021-04-09,107.01
2021-04-10,106.99
2021-04-11,107.04
2021-04-12,107.02
2021-04-13,107.07
2021-04-14,107.05
2021-04-15,107.10
2021-04-16,107.08
2021-04-17,107.13
2021-04-18,107.11
2021-04-19,107.16
2021-04-20,107.14
2021-04-21,107.19
2021-04-22,107.17
2021-04-23,107.22
2021-04-24,107.20
2021-04-25,107.25
2021-04-26,107.23
2021-04-27,107.28
2021-04-28,107.26
2021-04-29,107.31
2021-04-30,107.29
2021-05-01,107.34
2021-05-02,107.32
2021-05-03,107.37
2021-05-04,107.35
2021-05-05,107.40
2021-05-06,107.38
2021-05-07,107.43
2021-05-08,107.41
2021-05-09,107.46
2021-05-10,107.44
2021-05-11,107.49
2021-05-12,107.47
2021-05-13,107.52
2021-05-14,107.50
2021-05-15,107.55
2021-05-16,107.53
2021-05-17,107.58
2021-05-18,107.56
2021-05-19,107.61
2021-05-20,107.59
2021-05-21,107.64
2021-05-22,107.62
2021-05-23,107.67
2021-05-24,107.65
2021-05-25,107.70
2021-05-26,107.68
2021-05-27,107.73
2021-05-28,107.71
2021-05-29,107.76
2021-05-30,107.74
2021-05-31,107.79
2021-06-01,107.77
2021-06-02,107.82
2021-06-03,107.80
2021-06-04,107.85
2021-06-05,107.83
2021-06-06,107.88
2021-06-07,107.86
2021-06-08,107.91
2021-06-09,107.89
2021-06-10,107.94
2021-06-11,107.92
2021-06-12,107.97
2021-06-13,107.95
2021-06-14,108.00
2021-06-15,107.98
2021-06-16,108.03
2021-06-17,108.01
2021-06-18,108.06
2021-06-19,108.04
2021-06-20,108.09
2021-06-21,108.07
2021-06-22,108.12
2021-06-23,108.10
2021-06-24,108.15
2021-06-25,108.13
2021-06-26,108.18
2021-06-27,108.16
2021-06-28,108.21
2021-06-29,108.19
2021-06-30,108.24
2021-07-01,108.22
2021-07-02,108.27
2021-07-03,108.25
2021-07-04,108.30
2021-07-05,108.28
2021-07-06,108.33
2021-07-07,108.31
2021-07-08,108.36
2021-07-09,108.34
2021-07-10,108.39
2021-07-11,108.37
2021-07-12,108.42
2021-07-13,108.40
2021-07-14,108.45
2021-07-15,108.43
2021-07-16,108.48
2021-07-17,108.46
2021-07-18,108.51
2021-07-19,108.49
2021-07-20,108.54
2021-07-21,108.52
2021-07-22,108.57
2021-07-23,108.55
2021-07-24,108.60
2021-07-25,108.58
2021-07-26,108.63
2021-07-27,108.61
2021-07-28,108.66
2021-07-29,108.64
2021-07-30,108.69
2021-07-31,108.67
2021-08-01,108.72
2021-08-02,108.70
2021-08-03,108.75
2021-08-04,108.73
2021-08-05,108.78
2021-08-06,108.76
2021-08-07,108.81
2021-08-08,108.79
2021-08-09,108.84
2021-08-10,108.82
2021-08-11,108.87
2021-08-12,108.85
2021-08-13,108.90
2021-08-14,108.88
2021-08-15,108.93
2021-08-16,108.91
2021-08-17,108.96
2021-08-18,108.94
2021-08-19,108.99
2021-08-20,108.97
2021-08-21,109.02
2021-08-22,109.00
2021-08-23,109.05
2021-08-24,109.03
2021-08-25,109.08
2021-08-26,109.06
2021-08-27,109.11
2021-08-28,109.09
2021-08-29,109.14
2021-08-30,109.12
2021-08-31,109.17
2021-09-01,109.15
2021-09-02,109.20
2021-09-03,109.18
2021-09-04,109.23
2021-09-05,109.21
2021-09-06,109.26
2021-09-07,109.24
2021-09-08,109.29
2021-09-09,109.27
2021-09-10,109.32
2021-09-11,109.30
2021-09-12,109.35
2021-09-13,109.33
2021-09-14,109.38
2021-09-15,109.36
2021-09-16,109.41
2021-09-17,109.39
2021-09-18,109.44
2021-09-19,109.42
2021-09-20,109.47
2021-09-21,109.45
2021-09-22,109.50
2021-09-23,109.48
2021-09-24,109.53
2021-09-25,109.51
2021-09-26,109.56
2021-09-27,109.54
2021-09-28,109.59
2021-09-29,109.57
2021-09-30,109.62
2021-10-01,109.60
2021-10-02,109.65
2021-10-03,109.63
2021-10-04,109.68
2021-10-05,109.66
2021-10-06,109.71
2021-10-07,109.69
2021-10-08,109.74
2021-10-09,109.72
2021-10-10,109.77
2021-10-11,109.75
2021-10-12,109.80
2021-10-13,109.78
2021-10-14,109.83
2021-10-15,109.81
2021-10-16,109.86
2021-10-17,109.84
2021-10-18,109.89
2021-10-19,109.87
2021-10-20,109.92
2021-10-21,109.90
2021-10-22,109.95
2021-10-23,109.93
2021-10-24,109.98
2021-10-25,109.96
2021-10-26,110.01
2021-10-27,109.99
2021-10-28,110.04
2021-10-29,110.02
2021-10-30,110.07
2021-10-31,110.05
2021-11-01,110.10
2021-11-02,110.08
2021-11-03,110.13
2021-11-04,110.11
2021-11-05,110.16
2021-11-06,110.14
2021-11-07,110.19
2021-11-08,110.17
2021-11-09,110.22
2021-11-10,110.20
2021-11-11,110.25
2021-11-12,110.23
2021-11-13,110.28
2021-11-14,110.26
2021-11-15,110.31
2021-11-16,110.29
2021-11-17,110.34
2021-11-18,110.32
2021-11-19,110.37
2021-11-20,110.35
2021-11-21,110.40
2021-11-22,110.38
2021-11-23,110.43
2021-11-24,110.41
2021-11-25,110.46
2021-11-26,110.44
2021-11-27,110.49
2021-11-28,110.47
2021-11-29,110.52
2021-11-30,110.50
2021-12-01,110.55
2021-12-02,110.53
2021-12-03,110.58
2021-12-04,110.56
2021-12-05,110.61
2021-12-06,110.59
2021-12-07,110.64
2021-12-08,110.62
2021-12-09,110.67
2021-12-10,110.65
2021-12-11,110.70
2021-12-12,110.68
2021-12-13,110.73
2021-12-14,110.71
2021-12-15,110.76
2021-12-16,110.74
2021-12-17,110.79
2021-12-18,110.77
2021-12-19,110.82
2021-12-20,110.80
2021-12-21,110.85
2021-12-22,110.83
2021-12-23,110.88
2021-12-24,110.86
2021-12-25,110.91
2021-12-26,110.89
2021-12-27,110.94
2021-12-28,110.92
2021-12-29,110.97
2021-12-30,110.95
2021-12-31,111.00
2022-01-01,110.98
2022-01-02,111.03
2022-01-03,111.01
2022-01-04,111.06
2022-01-05,111.04
2022-01-06,111.09
2022-01-07,111.07
2022-01-08,111.12
2022-01-09,111.10
2022-01-10,111.15
2022-01-11,111.13
2022-01-12,111.18
2022-01-13,111.16
2022-01-14,111.21
2022-01-15,111.19
2022-01-16,111.24
2022-01-17,111.22
2022-01-18,111.27
2022-01-19,111.25
2022-01-20,111.30
2022-01-21,111.28
2022-01-22,111.33
2022-01-23,111.31
2022-01-24,111.36
2022-01-25,111.34
2022-01-26,111.39
2022-01-27,111.37
2022-01-28,111.42
2022-01-29,111.40
2022-01-30,111.45
2022-01-31,111.43
2022-02-01,111.48
2022-02-02,111.46
2022-02-03,111.51
2022-02-04,111.49
2022-02-05,111.54
2022-02-06,111.52
2022-02-07,111.57
2022-02-08,111.55
2022-02-09,111.60
2022-02-10,111.58
2022-02-11,111.63
2022-02-12,111.61
2022-02-13,111.66
2022-02-14,111.64
2022-02-15,111.69
2022-02-16,111.67
2022-02-17,111.72
2022-02-18,111.70
2022-02-19,111.75
2022-02-20,111.73
2022-02-21,111.78
2022-02-22,111.76
